Time,Speed_1,Speed_2,Speed_3,Speed_4,Speed_5
0.0,20.0,20.0,20.0,20.0,20.0
0.1,20.1,19.99,19.99,19.99,19.99
0.2,20.2,19.99,19.98,19.98,19.98
0.30000000000000004,20.3,19.98,19.97,19.97,19.97
0.4,20.4,19.99,19.96,19.96,19.96
0.5,20.5,19.99,19.95,19.95,19.95
0.6000000000000001,20.6,20.0,19.95,19.94,19.94
0.7000000000000001,20.7,20.01,19.94,19.94,19.94
0.8,20.8,20.03,19.93,19.93,19.93
0.9,20.9,20.05,19.93,19.92,19.92
1.0,20.99,20.07,19.92,19.91,19.91
1.1,21.09,20.09,19.92,19.9,19.9
1.2000000000000002,21.19,20.12,19.92,19.89,19.89
1.3,21.29,20.14,19.92,19.89,19.88
1.4000000000000001,21.38,20.17,19.92,19.88,19.87
1.5,21.48,20.2,19.92,19.87,19.87
1.6,21.57,20.24,19.92,19.87,19.86
1.7000000000000002,21.67,20.27,19.93,19.86,19.85
1.8,21.76,20.31,19.93,19.85,19.84
1.9000000000000001,21.85,20.34,19.94,19.85,19.83
2.0,21.95,20.38,19.94,19.84,19.83
2.1,22.04,20.42,19.95,19.84,19.82
2.2,22.13,20.46,19.96,19.84,19.81
2.3000000000000003,22.22,20.5,19.97,19.83,19.81
2.4000000000000004,22.31,20.55,19.98,19.83,19.8
2.5,22.4,20.59,19.99,19.83,19.79
2.6,22.48,20.63,20.01,19.83,19.79
2.7,22.57,20.68,20.02,19.83,19.78
2.8000000000000003,22.66,20.73,20.04,19.83,19.77
2.9000000000000004,22.74,20.77,20.05,19.83,19.77
3.0,22.82,20.82,20.07,19.83,19.76
3.1,22.91,20.87,20.09,19.83,19.76
3.2,22.99,20.92,20.11,19.83,19.75
3.3000000000000003,23.07,20.96,20.13,19.84,19.75
3.4000000000000004,23.14,21.01,20.15,19.84,19.75
3.5,23.22,21.06,20.18,19.84,19.74
3.6,23.3,21.11,20.2,19.85,19.74
3.7,23.37,21.16,20.22,19.86,19.74
3.8000000000000003,23.44,21.21,20.25,19.86,19.73
3.9000000000000004,23.52,21.27,20.27,19.87,19.73
4.0,23.59,21.32,20.3,19.88,19.73
4.1000000000000005,23.66,21.37,20.33,19.89,19.73
4.2,23.72,21.42,20.35,19.9,19.73
4.3,23.79,21.47,20.38,19.91,19.73
4.4,23.85,21.52,20.41,19.92,19.73
4.5,23.92,21.58,20.44,19.93,19.73
4.6000000000000005,23.98,21.63,20.47,19.94,19.73
4.7,24.04,21.68,20.5,19.95,19.73
4.800000000000001,24.1,21.73,20.53,19.97,19.73
4.9,24.15,21.78,20.57,19.98,19.74
5.0,24.21,21.84,20.6,19.99,19.74
5.1000000000000005,24.26,21.89,20.63,20.01,19.74
5.2,24.31,21.94,20.66,20.02,19.75
5.300000000000001,24.36,21.99,20.7,20.04,19.75
5.4,24.41,22.04,20.73,20.06,19.76
5.5,24.46,22.09,20.77,20.08,19.76
5.6000000000000005,24.5,22.15,20.8,20.09,19.77
5.7,24.54,22.2,20.84,20.11,19.77
5.800000000000001,24.58,22.25,20.87,20.13,19.78
5.9,24.62,22.3,20.91,20.15,19.79
6.0,24.66,22.35,20.95,20.17,19.79
6.1000000000000005,24.7,22.4,20.98,20.19,19.8
6.2,24.73,22.45,21.02,20.21,19.81
6.300000000000001,24.76,22.5,21.06,20.24,19.82
6.4,24.79,22.55,21.1,20.26,19.83
6.5,24.82,22.6,21.14,20.28,19.84
6.6000000000000005,24.84,22.65,21.17,20.31,19.85
6.7,24.87,22.7,21.21,20.33,19.86
6.800000000000001,24.89,22.75,21.25,20.35,19.87
6.9,24.91,22.79,21.29,20.38,19.89
7.0,24.93,22.84,21.33,20.4,19.9
7.1000000000000005,24.94,22.89,21.37,20.43,19.91
7.2,24.96,22.94,21.41,20.46,19.92
7.300000000000001,24.97,22.98,21.45,20.48,19.94
7.4,24.98,23.03,21.49,20.51,19.95
7.5,24.99,23.07,21.53,20.54,19.97
7.6000000000000005,24.99,23.12,21.57,20.56,19.98
7.7,25.0,23.16,21.61,20.59,20.0
7.800000000000001,25.0,23.21,21.65,20.62,20.01
7.9,25.0,23.25,21.69,20.65,20.03
8.0,25.0,23.29,21.73,20.68,20.05
8.1,24.99,23.33,21.77,20.71,20.06
8.200000000000001,24.99,23.37,21.81,20.74,20.08
8.3,24.98,23.41,21.85,20.77,20.1
8.4,24.97,23.45,21.89,20.8,20.12
8.5,24.96,23.49,21.93,20.83,20.14
8.6,24.94,23.53,21.97,20.86,20.16
8.700000000000001,24.93,23.57,22.01,20.89,20.18
8.8,24.91,23.6,22.05,20.92,20.2
8.9,24.89,23.64,22.09,20.95,20.22
9.0,24.87,23.67,22.13,20.98,20.24
9.1,24.85,23.7,22.17,21.01,20.26
9.200000000000001,24.82,23.74,22.21,21.05,20.28
9.3,24.79,23.77,22.25,21.08,20.3
9.4,24.76,23.8,22.29,21.11,20.32
