Time,Speed_1,Speed_2,Speed_3,Speed_4,Speed_5
0,18.20636364,18.25818182,15.68181818,11.66636364,10.86727273
0.1,18.24888889,18.32333333,15.82222222,11.80555556,11.01
0.2,18.28727273,18.39181818,15.96454545,11.93818182,11.16090909
0.3,18.32555556,18.45444444,16.10444444,12.07,11.32
0.4,18.36181818,18.51636364,16.24818182,12.20545455,11.48090909
0.5,18.39555556,18.57777778,16.38555556,12.34888889,11.64888889
0.6,18.43363636,18.63909091,16.52727273,12.48909091,11.79727273
0.7,18.46777778,18.70111111,16.66777778,12.61444444,11.94222222
0.8,18.50090909,18.76090909,16.80909091,12.75181818,12.08636364
0.9,18.53444444,18.81777778,16.94666667,12.88777778,12.22333333
1,18.56636364,18.87181818,17.08909091,13.02636364,12.35090909
1.1,18.6,18.92444444,17.23444444,13.15777778,12.47222222
1.2,18.63181818,18.97727273,17.37181818,13.29090909,12.58727273
1.3,18.66222222,19.02888889,17.51111111,13.42666667,12.69
1.4,18.69,19.07909091,17.65181818,13.55818182,12.79
1.5,18.71777778,19.12777778,17.79333333,13.68888889,12.89
1.6,18.74818182,19.17363636,17.93,13.82272727,12.98818182
1.7,18.77555556,19.21333333,18.06666667,13.95777778,13.09111111
1.8,18.80545455,19.25727273,18.20545454,14.09090909,13.21090909
1.9,18.83,19.29888889,18.34333333,14.21777778,13.34555556
2,18.85454545,19.33818182,18.48,14.34727273,13.48272727
2.1,18.88,19.37555556,18.61777778,14.47666667,13.61333333
2.2,18.90181818,19.41363636,18.75363636,14.61,13.74454545
2.3,18.92333333,19.45111111,18.88555556,14.74111111,13.87444444
2.4,18.94272727,19.48636364,19.02272727,14.86636364,14.00090909
2.5,18.96,19.52,19.15777778,14.99333333,14.12777778
2.6,18.97636364,19.55272727,19.29181818,15.12909091,14.24909091
2.7,18.99444444,19.58555556,19.42333333,15.26,14.37444444
2.8,19.01,19.61090909,19.55818182,15.38727273,14.49363636
2.9,19.02444444,19.63666667,19.69333333,15.51666667,14.61111111
3,19.04090909,19.66272727,19.83,15.64636364,14.73
3.1,19.05333333,19.68888889,19.96,15.78111111,14.85
3.2,19.06727273,19.71454545,20.09363636,15.91545454,14.96272727
3.3,19.07666667,19.73777778,20.22666667,16.04222222,15.07888889
3.4,19.08545455,19.75636364,20.35818182,16.17181818,15.19363636
3.5,19.09777778,19.77666667,20.48777778,16.31222222,15.30333333
3.6,19.11,19.79636364,20.62,16.44636364,15.40181818
3.7,19.12222222,19.81888889,20.75222222,16.57555556,15.50444444
3.8,19.13454545,19.84272727,20.87727273,16.71090909,15.59636364
3.9,19.14444444,19.86222222,20.99555556,16.85,15.67888889
4,19.15090909,19.88727273,21.11636364,16.98,15.75909091
4.1,19.16111111,19.90888889,21.22,17.11222222,15.83555556
4.2,19.16363636,19.93090909,21.31272727,17.24636364,15.90454545
4.3,19.16777778,19.95111111,21.39777778,17.37888889,15.97111111
4.4,19.17272727,19.96909091,21.47545455,17.51272727,16.04
4.5,19.17666667,19.98666667,21.55111111,17.64,16.11444444
4.6,19.18181818,20.00636364,21.63636364,17.77,16.19636364
4.7,19.19333333,20.02333333,21.72666667,17.90777778,16.28222222
4.8,19.20545455,20.03727273,21.80545455,18.03636364,16.37090909
4.9,19.21333333,20.05444444,21.87888889,18.16555556,16.45222222
5,19.22090909,20.07090909,21.94909091,18.29909091,16.52909091
5.1,19.22777778,20.08666667,22.01777778,18.42222222,16.60666667
5.2,19.23090909,20.10545455,22.08090909,18.55090909,16.68454545
5.3,19.24,20.12,22.14,18.68555556,16.76111111
5.4,19.24181818,20.13545455,22.19545455,18.81090909,16.83545455
5.5,19.24555556,20.14888889,22.24222222,18.93888889,16.91111111
5.6,19.25181818,20.15636364,22.28636364,19.06727273,16.98545455
5.7,19.25888889,20.16777778,22.32444444,19.19222222,17.05777778
5.8,19.26545455,20.17727273,22.35636364,19.32,17.13090909
5.9,19.26888889,20.18,22.38666667,19.45111111,17.20555556
6,19.27363636,20.19545455,22.42272727,19.57090909,17.28636364
6.1,19.27555556,20.20888889,22.45222222,19.7,17.36666667
6.2,19.28,20.22181818,22.48,19.82545454,17.44636364
6.3,19.28333333,20.23,22.50666667,19.95333333,17.53222222
6.4,19.28272727,20.24090909,22.52818182,20.07090909,17.61727273
6.5,19.28555556,20.25222222,22.55111111,20.20111111,17.70777778
6.6,19.28454545,20.26090909,22.56727273,20.32545454,17.79818182
6.7,19.28333333,20.27222222,22.57666667,20.45,17.88888889
6.8,19.28545455,20.28,22.58909091,20.56636364,17.98090909
6.9,19.28666667,20.28888889,22.59888889,20.7,18.07
7,19.28454545,20.30090909,22.60909091,20.81454545,18.15818182
7.1,19.28777778,20.31,22.61111111,20.93,18.24888889
7.2,19.28818182,20.31727273,22.61090909,21.04909091,18.33909091
7.3,19.28777778,20.32444444,22.60333333,21.16444444,18.42555556
7.4,19.28363636,20.33181818,22.59090909,21.27636364,18.51545455
7.5,19.28222222,20.34,22.57888889,21.38555556,18.60333333
7.6,19.27909091,20.34,22.56272727,21.50181818,18.69272727
7.7,19.27777778,20.34444444,22.54444444,21.60777778,18.78
7.8,19.27545455,20.34909091,22.51909091,21.71090909,18.86818182
7.9,19.27111111,20.35,22.49111111,21.81444444,18.95777778
8,19.27454545,20.35,22.46181818,21.92545454,19.04689105
8.1,19.27555556,20.35222222,22.43111111,22.03,19.13666667
8.2,19.27363636,20.34909091,22.40545455,22.13363636,19.22818182
8.3,19.27222222,20.34555556,22.37666667,22.23222222,19.31888889
8.4,19.26909091,20.34181818,22.34545455,22.32545455,19.40727273
8.5,19.26444444,20.34555556,22.31222222,22.42444444,19.49666667
8.6,19.26090909,20.34,22.28727273,22.51909091,19.58636364
8.7,19.25777778,20.33555556,22.26222222,22.61,19.67777778
8.8,19.25363636,20.33181818,22.22727273,22.68363636,19.76636364
8.9,19.25111111,20.33,22.19666667,22.76333333,19.85777778
9,19.24909091,20.32454545,22.16636364,22.83181818,19.94727273
9.1,19.24444444,20.31888889,22.13111111,22.89555556,20.03777778
9.2,19.23818182,20.31,22.09909091,22.95181818,20.12818182
9.3,19.23666667,20.30555556,22.06777778,23.00555556,20.21888889
9.4,19.23090909,20.29636364,22.03454545,23.05636364,20.31
9.5,19.22666667,20.28888889,22.00111111,23.09777778,20.4
9.6,19.22090909,20.28272727,21.96727273,23.12363636,20.49272727
9.7,19.21777778,20.27,21.93111111,23.15333333,20.58
9.8,19.21181818,20.25545455,21.89363636,23.18363636,20.67272727
9.9,19.20666667,20.24777778,21.86333333,23.21,20.76333333
10,19.20090909,20.23545455,21.83636364,23.22818182,20.85181818
10.1,19.19666667,20.22222222,21.80333333,23.25222222,20.94111111
10.2,19.19,20.20636364,21.76545455,23.25909091,21.03272727
10.3,19.18333333,20.19444444,21.73666667,23.26111111,21.11555556
10.4,19.18,20.18272727,21.70636364,23.27454545,21.19727273
10.5,19.17777778,20.16777778,21.67666667,23.26777778,21.26888889
10.6,19.17272727,20.15272727,21.64545455,23.27090909,21.32454545
10.7,19.17111111,20.13666667,21.61555556,23.26888889,21.37777778
10.8,19.17090909,20.11909091,21.58909091,23.26909091,21.42363636
10.9,19.16555556,20.10222222,21.56,23.25333333,21.46111111
11,19.16545455,20.08,21.53636364,23.24909091,21.49272727
11.1,19.16111111,20.06222222,21.50444444,23.24777778,21.51777778
11.2,19.15727273,20.04454545,21.46909091,23.24090909,21.54
11.3,19.15444444,20.02444444,21.44,23.23777778,21.56111111
11.4,19.14909091,19.99818182,21.41545455,23.23818182,21.58272727
11.5,19.14333333,19.97777778,21.38444444,23.24777778,21.60444444
11.6,19.14,19.95363636,21.34909091,23.24545455,21.62909091
11.7,19.13777778,19.93111111,21.31555556,23.24333333,21.64777778
11.8,19.13181818,19.90636364,21.28545455,23.25181818,21.65545455
11.9,19.13111111,19.88222222,21.25111111,23.25444444,21.66111111
12,19.12909091,19.85909091,21.21181818,23.25454545,21.66818182
12.1,19.12444444,19.83333333,21.17555556,23.26555556,21.67111111
12.2,19.12363636,19.81090909,21.13909091,23.26909091,21.67454545
12.3,19.11888889,19.78888889,21.09777778,23.27222222,21.67666667
12.4,19.11636364,19.76272727,21.04909091,23.28090909,21.67818182
12.5,19.11333333,19.73444444,21.01222222,23.27888889,21.68
12.6,19.10727273,19.71090909,20.97,23.27363636,21.68
12.7,19.10555556,19.68333333,20.92333333,23.28777778,21.68
12.8,19.10181818,19.66272727,20.87818182,23.29636364,21.67909091
12.9,19.09888889,19.63777778,20.83333333,23.28888889,21.67555556
13,19.09727273,19.61090909,20.79090909,23.29151815,21.67727273
13.1,19.09333333,19.59,20.74555556,23.30111111,21.67444444
13.2,19.09181818,19.56818182,20.70090909,23.30090909,21.67
13.3,19.08996702,19.54777778,20.65888889,23.30777778,21.67
13.4,19.08818182,19.52272727,20.60909091,23.31,21.67
13.5,19.08222222,19.50111111,20.56666667,23.31111111,21.67
13.6,19.07818182,19.47909091,20.52272727,23.31545455,21.67363636
13.7,19.074939,19.46,20.47777778,23.32888889,21.67777778
13.8,19.07545455,19.44181818,20.42727273,23.32727273,21.67909091
13.9,19.07444444,19.42111111,20.37888889,23.31666667,21.67777778
14,19.07272727,19.39727273,20.33181818,23.32818182,21.67727273
14.1,19.07111111,19.37444444,20.28666667,23.34098496,21.67888889
14.2,19.07090909,19.36,20.23818182,23.33818182,21.67886937
14.3,19.06888889,19.34333333,20.18666667,23.33222222,21.67777778
14.4,19.06636364,19.32181818,20.14,23.34545455,21.67454545
14.5,19.06555556,19.30666667,20.09555556,23.34333333,21.67
14.6,19.06454545,19.28545455,20.04363636,23.34454545,21.66727273
14.7,19.06222222,19.26333333,19.99444444,23.34,21.66444444
14.8,19.05909091,19.25,19.94545455,23.34818182,21.66
14.9,19.05888889,19.23444444,19.89777778,23.33888889,21.65666667
15,19.05363636,19.22181818,19.85181818,23.33636364,21.65181818
15.1,19.05111111,19.20666667,19.80555556,23.35,21.64888889
15.2,19.05090909,19.19454545,19.75818182,23.34363636,21.63909091
15.3,19.05222222,19.17666667,19.70555556,23.33111111,21.63444444
15.4,19.04818182,19.16090909,19.65909091,23.33272727,21.62818182
15.5,19.05111111,19.14666667,19.62222222,23.33333333,21.62222222
